ID,Date,Issue,Title,Page Link,Download Link,EPRA/Energy Act
54,8/11/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 61,https://new.kenyalaw.org/akn/ke/officialGazette/2006-08-11/61/eng@2006-08-11,https://new.kenyalaw.org/akn/ke/officialGazette/2006-08-11/61/eng@2006-08-11/source,
55,8/18/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 62,https://new.kenyalaw.org/akn/ke/officialGazette/2006-08-18/62/eng@2006-08-18,https://new.kenyalaw.org/akn/ke/officialGazette/2006-08-18/62/eng@2006-08-18/source,
56,8/25/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 63,https://new.kenyalaw.org/akn/ke/officialGazette/2006-08-25/63/eng@2006-08-25,https://new.kenyalaw.org/akn/ke/officialGazette/2006-08-25/63/eng@2006-08-25/source,
57,9/1/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 64,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-01/64/eng@2006-09-01,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-01/64/eng@2006-09-01/source,
58,9/8/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 65,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-08/65/eng@2006-09-08,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-08/65/eng@2006-09-08/source,
59,9/15/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 66,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-15/66/eng@2006-09-15,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-15/66/eng@2006-09-15/source,
60,9/22/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 67,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-22/67/eng@2006-09-22,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-22/67/eng@2006-09-22/source,
61,9/29/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 68,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-29/68/eng@2006-09-29,https://new.kenyalaw.org/akn/ke/officialGazette/2006-09-29/68/eng@2006-09-29/source,
62,10/6/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 69,https://new.kenyalaw.org/akn/ke/officialGazette/2006-10-06/69/eng@2006-10-06,https://new.kenyalaw.org/akn/ke/officialGazette/2006-10-06/69/eng@2006-10-06/source,
63,10/6/2006,Special Issue,Kenya Gazette Vol. CVIII-No. 70,https://new.kenyalaw.org/akn/ke/officialGazette/2006-10-06/70/eng@2006-10-06,https://new.kenyalaw.org/akn/ke/officialGazette/2006-10-06/70/eng@2006-10-06/source,
64,11/17/2006,Weekly Issue,Kenya Gazette Vol. CVIII-No. 80,https://new.kenyalaw.org/akn/ke/officialGazette/2006-11-17/80/eng@2006-11-17,https://new.kenyalaw.org/akn/ke/officialGazette/2006-11-17/80/eng@2006-11-17/source,
